,Xe,Ye
519,18.747177345882353,-14.781914769522102
520,18.41556947322832,-13.917388739508377
521,,
522,18.747177345882353,-14.781914769522102
523,18.990132932697264,-13.81280860264974
524,,
525,17.34127542749722,-15.06497901045202
526,18.418143108317032,-15.657192440729775
527,,
528,19.344474994445847,-13.81414289821846
529,18.747177345882353,-14.781914769522102
530,,
531,18.416748262208007,-13.637736506454166
532,18.747177345882353,-14.781914769522102
533,,
534,18.747177345882353,-14.781914769522102
535,19.717776729225886,-13.94514304016781
536,,
537,19.42657961913798,-13.739413390693214
538,18.747177345882353,-14.781914769522102
539,,
540,18.747177345882353,-14.781914769522102
541,19.535607372679287,-13.92884060571481
542,,
543,18.747177345882353,-14.781914769522102
544,18.932007809482172,-16.36592891742919
545,,
546,18.094490028313853,-13.902668396444792
547,18.747177345882353,-14.781914769522102
548,,
549,18.747177345882353,-14.781914769522102
550,18.932007809482172,-16.36592891742919
551,,
552,18.747177345882353,-14.781914769522102
553,18.932007809482172,-16.36592891742919
554,,
555,18.747177345882353,-14.781914769522102
556,18.932007809482172,-16.36592891742919
557,,
558,18.650387904303464,-13.734619067994231
559,18.747177345882353,-14.781914769522102
560,,
561,18.416748262208007,-13.637736506454166
562,17.906711141341738,-12.472013914139412
563,,
564,18.094490028313853,-13.902668396444792
565,15.419960776006702,-14.930752575646684
566,,
567,17.34127542749722,-15.06497901045202
568,17.97838469539609,-16.202145318285332
569,,
570,17.34127542749722,-15.06497901045202
571,18.747177345882353,-14.781914769522102
572,,
573,22.05078590360301,-8.725125696951057
574,22.070877719145283,-9.977929411977795
575,,
576,21.193562481518267,-10.782819337718268
577,22.070877719145283,-9.977929411977795
578,,
579,18.094490028313853,-13.902668396444792
580,16.17568107583618,-13.542717619320593
581,,
582,17.002921268283494,-14.135149866826998
583,17.34127542749722,-15.06497901045202
584,,
585,18.094490028313853,-13.902668396444792
586,15.419960776006702,-14.930752575646684
587,,
588,17.34127542749722,-15.06497901045202
589,17.195192751804523,-13.982518087081331
590,,
591,17.34127542749722,-15.06497901045202
592,16.872430271414316,-14.231297863871399
593,,
594,16.659405427979106,-17.569202610262753
595,17.066056263433378,-19.37700749777725
596,,
